Call Type,Incident Number,Battalion,Station Area,Call Type Group,nodeID,parentID
Medical Incident,4988,B04,10,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B04,Potentially Life-Threatening.Medical Incident
Medical Incident,4,B09,40,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B09,Potentially Life-Threatening.Medical Incident
Gas Leak (Natural and LP Gases),6,B04,51,Alarm,Alarm.Gas Leak (Natural and LP Gases).B04,Alarm.Gas Leak (Natural and LP Gases)
Water Rescue,63,B05,16,Fire,Fire.Water Rescue.B05,Fire.Water Rescue
Other,1,B10,4,Alarm,Alarm.Other.B10,Alarm.Other
Medical Incident,2,B08,25,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B08,Potentially Life-Threatening.Medical Incident
Other,471,B99,51,Fire,Fire.Other.B99,Fire.Other
Assist Police,3,B02,1,Alarm,Alarm.Assist Police.B02,Alarm.Assist Police
Water Rescue,251,B99,14,Fire,Fire.Water Rescue.B99,Fire.Water Rescue
Alarms,5083,B01,1,Alarm,Alarm.Alarms.B01,Alarm.Alarms
HazMat,6,B04,3,Fire,Fire.HazMat.B04,Fire.HazMat
Traffic Collision,3,B08,24,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B08,Potentially Life-Threatening.Traffic Collision
"Extrication / Entrapped (Machinery, Vehicle)",15,B10,9,Fire,"Fire.Extrication / Entrapped (Machinery, Vehicle).B10","Fire.Extrication / Entrapped (Machinery, Vehicle)"
Train / Rail Fire,10,B09,15,Fire,Fire.Train / Rail Fire.B09,Fire.Train / Rail Fire
Odor (Strange / Unknown),59,B02,3,Alarm,Alarm.Odor (Strange / Unknown).B02,Alarm.Odor (Strange / Unknown)
Medical Incident,14460,B10,17,Non Life-threatening,Non Life-threatening.Medical Incident.B10,Non Life-threatening.Medical Incident
Vehicle Fire,65,B02,5,Fire,Fire.Vehicle Fire.B02,Fire.Vehicle Fire
Fuel Spill,64,B10,25,Alarm,Alarm.Fuel Spill.B10,Alarm.Fuel Spill
Medical Incident,2,B07,5,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B07,Potentially Life-Threatening.Medical Incident
Medical Incident,9,B07,23,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B07,Potentially Life-Threatening.Medical Incident
Medical Incident,1,B09,13,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B09,Potentially Life-Threatening.Medical Incident
Outside Fire,425,B08,22,Fire,Fire.Outside Fire.B08,Fire.Outside Fire
Other,1,B03,33,Alarm,Alarm.Other.B03,Alarm.Other
Medical Incident,3,B02,22,Non Life-threatening,Non Life-threatening.Medical Incident.B02,Non Life-threatening.Medical Incident
Assist Police,3,B09,42,Alarm,Alarm.Assist Police.B09,Alarm.Assist Police
Vehicle Fire,2,B09,1,Fire,Fire.Vehicle Fire.B09,Fire.Vehicle Fire
Smoke Investigation (Outside),2,B06,42,Alarm,Alarm.Smoke Investigation (Outside).B06,Alarm.Smoke Investigation (Outside)
Outside Fire,1,B06,,Fire,Fire.Outside Fire.B06,Fire.Outside Fire
Alarms,6,B09,6,Alarm,Alarm.Alarms.B09,Alarm.Alarms
Medical Incident,10513,B02,6,Non Life-threatening,Non Life-threatening.Medical Incident.B02,Non Life-threatening.Medical Incident
Medical Incident,2,B03,15,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B03,Potentially Life-Threatening.Medical Incident
Structure Fire,495,B08,40,Fire,Fire.Structure Fire.B08,Fire.Structure Fire
Other,214,B02,5,Alarm,Alarm.Other.B02,Alarm.Other
Citizen Assist / Service Call,630,B01,2,Alarm,Alarm.Citizen Assist / Service Call.B01,Alarm.Citizen Assist / Service Call
Medical Incident,2,B01,5,Non Life-threatening,Non Life-threatening.Medical Incident.B01,Non Life-threatening.Medical Incident
Outside Fire,1,B06,29,Fire,Fire.Outside Fire.B06,Fire.Outside Fire
Other,5,B07,18,Alarm,Alarm.Other.B07,Alarm.Other
Electrical Hazard,203,B08,40,Alarm,Alarm.Electrical Hazard.B08,Alarm.Electrical Hazard
Traffic Collision,6,B03,32,Non Life-threatening,Non Life-threatening.Traffic Collision.B03,Non Life-threatening.Traffic Collision
Structure Fire,10,B09,17,Alarm,Alarm.Structure Fire.B09,Alarm.Structure Fire
Elevator / Escalator Rescue,2,B10,47,Alarm,Alarm.Elevator / Escalator Rescue.B10,Alarm.Elevator / Escalator Rescue
Outside Fire,1,B03,40,Fire,Fire.Outside Fire.B03,Fire.Outside Fire
Medical Incident,6,B10,3,Non Life-threatening,Non Life-threatening.Medical Incident.B10,Non Life-threatening.Medical Incident
Traffic Collision,51,B01,16,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B01,Potentially Life-Threatening.Traffic Collision
Alarms,4721,B02,6,Alarm,Alarm.Alarms.B02,Alarm.Alarms
Traffic Collision,96,B04,28,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B04,Potentially Life-Threatening.Traffic Collision
Gas Leak (Natural and LP Gases),67,B06,9,Alarm,Alarm.Gas Leak (Natural and LP Gases).B06,Alarm.Gas Leak (Natural and LP Gases)
Medical Incident,11,B06,32,Alarm,Alarm.Medical Incident.B06,Alarm.Medical Incident
Assist Police,1,B02,5,Alarm,Alarm.Assist Police.B02,Alarm.Assist Police
Fuel Spill,12,B09,32,Alarm,Alarm.Fuel Spill.B09,Alarm.Fuel Spill
Traffic Collision,6,B99,7,Non Life-threatening,Non Life-threatening.Traffic Collision.B99,Non Life-threatening.Traffic Collision
Industrial Accidents,22,B02,36,Fire,Fire.Industrial Accidents.B02,Fire.Industrial Accidents
HazMat,2,B06,11,Fire,Fire.HazMat.B06,Fire.HazMat
Electrical Hazard,558,B08,18,Alarm,Alarm.Electrical Hazard.B08,Alarm.Electrical Hazard
Other,103,B09,42,Alarm,Alarm.Other.B09,Alarm.Other
Medical Incident,1,B06,24,Alarm,Alarm.Medical Incident.B06,Alarm.Medical Incident
Vehicle Fire,2,B99,10,Fire,Fire.Vehicle Fire.B99,Fire.Vehicle Fire
Other,2217,B09,44,Alarm,Alarm.Other.B09,Alarm.Other
Medical Incident,6,B02,13,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B02,Potentially Life-Threatening.Medical Incident
"Extrication / Entrapped (Machinery, Vehicle)",5,B09,43,Fire,"Fire.Extrication / Entrapped (Machinery, Vehicle).B09","Fire.Extrication / Entrapped (Machinery, Vehicle)"
Structure Fire,741,B08,18,Fire,Fire.Structure Fire.B08,Fire.Structure Fire
Citizen Assist / Service Call,2,B06,37,Alarm,Alarm.Citizen Assist / Service Call.B06,Alarm.Citizen Assist / Service Call
Medical Incident,47,B07,1,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B07,Potentially Life-Threatening.Medical Incident
Gas Leak (Natural and LP Gases),2,B99,31,Alarm,Alarm.Gas Leak (Natural and LP Gases).B99,Alarm.Gas Leak (Natural and LP Gases)
Vehicle Fire,28,B02,1,Fire,Fire.Vehicle Fire.B02,Fire.Vehicle Fire
Medical Incident,5,B10,11,Non Life-threatening,Non Life-threatening.Medical Incident.B10,Non Life-threatening.Medical Incident
Outside Fire,83,B03,13,Fire,Fire.Outside Fire.B03,Fire.Outside Fire
HazMat,4,B04,38,Alarm,Alarm.HazMat.B04,Alarm.HazMat
HazMat,3,B05,21,Fire,Fire.HazMat.B05,Fire.HazMat
Structure Fire,98,B10,32,Fire,Fire.Structure Fire.B10,Fire.Structure Fire
Explosion,36,B01,2,Fire,Fire.Explosion.B01,Fire.Explosion
Smoke Investigation (Outside),17,B04,5,Alarm,Alarm.Smoke Investigation (Outside).B04,Alarm.Smoke Investigation (Outside)
Electrical Hazard,26,B10,32,Alarm,Alarm.Electrical Hazard.B10,Alarm.Electrical Hazard
Elevator / Escalator Rescue,2,B03,48,Alarm,Alarm.Elevator / Escalator Rescue.B03,Alarm.Elevator / Escalator Rescue
Fuel Spill,4,B03,3,Alarm,Alarm.Fuel Spill.B03,Alarm.Fuel Spill
Alarms,4251,B10,17,Alarm,Alarm.Alarms.B10,Alarm.Alarms
Traffic Collision,422,B02,3,Non Life-threatening,Non Life-threatening.Traffic Collision.B02,Non Life-threatening.Traffic Collision
Structure Fire,5599,B02,3,Alarm,Alarm.Structure Fire.B02,Alarm.Structure Fire
Outside Fire,2,B06,43,Fire,Fire.Outside Fire.B06,Fire.Outside Fire
Outside Fire,4,B04,,Fire,Fire.Outside Fire.B04,Fire.Outside Fire
Vehicle Fire,26,B09,42,Fire,Fire.Vehicle Fire.B09,Fire.Vehicle Fire
Other,13,B99,10,Alarm,Alarm.Other.B99,Alarm.Other
Vehicle Fire,96,B09,44,Fire,Fire.Vehicle Fire.B09,Fire.Vehicle Fire
Traffic Collision,1,B02,41,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B02,Potentially Life-Threatening.Traffic Collision
Traffic Collision,2,B02,11,Non Life-threatening,Non Life-threatening.Traffic Collision.B02,Non Life-threatening.Traffic Collision
Gas Leak (Natural and LP Gases),1,B99,14,Alarm,Alarm.Gas Leak (Natural and LP Gases).B99,Alarm.Gas Leak (Natural and LP Gases)
Other,28,B01,2,Potentially Life-Threatening,Potentially Life-Threatening.Other.B01,Potentially Life-Threatening.Other
Smoke Investigation (Outside),25,B07,10,Alarm,Alarm.Smoke Investigation (Outside).B07,Alarm.Smoke Investigation (Outside)
Outside Fire,343,B09,15,Fire,Fire.Outside Fire.B09,Fire.Outside Fire
Structure Fire,481,B05,5,Fire,Fire.Structure Fire.B05,Fire.Structure Fire
Medical Incident,5,B02,40,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B02,Potentially Life-Threatening.Medical Incident
Medical Incident,5732,B01,1,Non Life-threatening,Non Life-threatening.Medical Incident.B01,Non Life-threatening.Medical Incident
Other,255,B02,1,Alarm,Alarm.Other.B02,Alarm.Other
Marine Fire,1,B07,34,Fire,Fire.Marine Fire.B07,Fire.Marine Fire
Water Rescue,225,B04,51,Fire,Fire.Water Rescue.B04,Fire.Water Rescue
Medical Incident,9,B08,39,Alarm,Alarm.Medical Incident.B08,Alarm.Medical Incident
Electrical Hazard,33,B05,5,Alarm,Alarm.Electrical Hazard.B05,Alarm.Electrical Hazard
"Extrication / Entrapped (Machinery, Vehicle)",7,B02,29,Fire,"Fire.Extrication / Entrapped (Machinery, Vehicle).B02","Fire.Extrication / Entrapped (Machinery, Vehicle)"
Other,408,B01,2,Alarm,Alarm.Other.B01,Alarm.Other
Citizen Assist / Service Call,510,B02,5,Alarm,Alarm.Citizen Assist / Service Call.B02,Alarm.Citizen Assist / Service Call
Gas Leak (Natural and LP Gases),208,B03,8,Alarm,Alarm.Gas Leak (Natural and LP Gases).B03,Alarm.Gas Leak (Natural and LP Gases)
Medical Incident,2,B02,2,Non Life-threatening,Non Life-threatening.Medical Incident.B02,Non Life-threatening.Medical Incident
Outside Fire,524,B04,3,Fire,Fire.Outside Fire.B04,Fire.Outside Fire
Citizen Assist / Service Call,2,B07,18,Alarm,Alarm.Citizen Assist / Service Call.B07,Alarm.Citizen Assist / Service Call
Traffic Collision,2,B02,8,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B02,Potentially Life-Threatening.Traffic Collision
Citizen Assist / Service Call,1,B01,6,Alarm,Alarm.Citizen Assist / Service Call.B01,Alarm.Citizen Assist / Service Call
Medical Incident,5902,B08,39,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B08,Potentially Life-Threatening.Medical Incident
Structure Fire,1554,B02,29,Alarm,Alarm.Structure Fire.B02,Alarm.Structure Fire
Traffic Collision,902,B02,29,Non Life-threatening,Non Life-threatening.Traffic Collision.B02,Non Life-threatening.Traffic Collision
Fuel Spill,20,B03,29,Alarm,Alarm.Fuel Spill.B03,Alarm.Fuel Spill
Alarms,3294,B07,14,Alarm,Alarm.Alarms.B07,Alarm.Alarms
Smoke Investigation (Outside),1,B03,36,Alarm,Alarm.Smoke Investigation (Outside).B03,Alarm.Smoke Investigation (Outside)
Odor (Strange / Unknown),13,B10,9,Alarm,Alarm.Odor (Strange / Unknown).B10,Alarm.Odor (Strange / Unknown)
Medical Incident,37,B03,28,Non Life-threatening,Non Life-threatening.Medical Incident.B03,Non Life-threatening.Medical Incident
"Extrication / Entrapped (Machinery, Vehicle)",13,B02,3,Fire,"Fire.Extrication / Entrapped (Machinery, Vehicle).B02","Fire.Extrication / Entrapped (Machinery, Vehicle)"
Traffic Collision,14,B02,,Non Life-threatening,Non Life-threatening.Traffic Collision.B02,Non Life-threatening.Traffic Collision
Structure Fire,47,B02,,Alarm,Alarm.Structure Fire.B02,Alarm.Structure Fire
Medical Incident,2,B10,35,Non Life-threatening,Non Life-threatening.Medical Incident.B10,Non Life-threatening.Medical Incident
Explosion,27,B02,1,Fire,Fire.Explosion.B02,Fire.Explosion
Medical Incident,2,3E,E2,Non Life-threatening,Non Life-threatening.Medical Incident.3E,Non Life-threatening.Medical Incident
Other,16,B09,42,Potentially Life-Threatening,Potentially Life-Threatening.Other.B09,Potentially Life-Threatening.Other
Medical Incident,4027,B06,24,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B06,Potentially Life-Threatening.Medical Incident
Other,6,B09,44,Potentially Life-Threatening,Potentially Life-Threatening.Other.B09,Potentially Life-Threatening.Other
Other,83,B01,13,Non Life-threatening,Non Life-threatening.Other.B01,Non Life-threatening.Other
Vehicle Fire,86,B01,2,Fire,Fire.Vehicle Fire.B01,Fire.Vehicle Fire
Medical Incident,129,B10,29,Non Life-threatening,Non Life-threatening.Medical Incident.B10,Non Life-threatening.Medical Incident
Alarms,4545,B07,31,Alarm,Alarm.Alarms.B07,Alarm.Alarms
Medical Incident,9,B10,8,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B10,Potentially Life-Threatening.Medical Incident
Alarms,5,B05,7,Alarm,Alarm.Alarms.B05,Alarm.Alarms
Traffic Collision,835,B09,43,Non Life-threatening,Non Life-threatening.Traffic Collision.B09,Non Life-threatening.Traffic Collision
Alarms,278,B07,21,Alarm,Alarm.Alarms.B07,Alarm.Alarms
Gas Leak (Natural and LP Gases),2,B08,,Alarm,Alarm.Gas Leak (Natural and LP Gases).B08,Alarm.Gas Leak (Natural and LP Gases)
Structure Fire,5208,B09,43,Alarm,Alarm.Structure Fire.B09,Alarm.Structure Fire
Confined Space / Structure Collapse,14,B03,8,Fire,Fire.Confined Space / Structure Collapse.B03,Fire.Confined Space / Structure Collapse
Structure Fire,10,B02,35,Alarm,Alarm.Structure Fire.B02,Alarm.Structure Fire
Traffic Collision,1231,B04,38,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B04,Potentially Life-Threatening.Traffic Collision
Explosion,3,B09,44,Fire,Fire.Explosion.B09,Fire.Explosion
Traffic Collision,3,B06,15,Non Life-threatening,Non Life-threatening.Traffic Collision.B06,Non Life-threatening.Traffic Collision
Gas Leak (Natural and LP Gases),21,B06,6,Alarm,Alarm.Gas Leak (Natural and LP Gases).B06,Alarm.Gas Leak (Natural and LP Gases)
Fuel Spill,66,B03,35,Alarm,Alarm.Fuel Spill.B03,Alarm.Fuel Spill
Electrical Hazard,63,B09,39,Alarm,Alarm.Electrical Hazard.B09,Alarm.Electrical Hazard
Medical Incident,28,B10,,Non Life-threatening,Non Life-threatening.Medical Incident.B10,Non Life-threatening.Medical Incident
HazMat,1,B08,22,Fire,Fire.HazMat.B08,Fire.HazMat
Medical Incident,3,B09,9,Non Life-threatening,Non Life-threatening.Medical Incident.B09,Non Life-threatening.Medical Incident
Medical Incident,7,B03,39,Non Life-threatening,Non Life-threatening.Medical Incident.B03,Non Life-threatening.Medical Incident
Structure Fire,185,B09,39,Fire,Fire.Structure Fire.B09,Fire.Structure Fire
Medical Incident,10563,B06,32,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B06,Potentially Life-Threatening.Medical Incident
Citizen Assist / Service Call,368,B02,1,Alarm,Alarm.Citizen Assist / Service Call.B02,Alarm.Citizen Assist / Service Call
Alarms,27,B10,,Alarm,Alarm.Alarms.B10,Alarm.Alarms
Outside Fire,488,B06,11,Fire,Fire.Outside Fire.B06,Fire.Outside Fire
Traffic Collision,2,B09,35,Non Life-threatening,Non Life-threatening.Traffic Collision.B09,Non Life-threatening.Traffic Collision
Confined Space / Structure Collapse,8,B05,20,Fire,Fire.Confined Space / Structure Collapse.B05,Fire.Confined Space / Structure Collapse
Other,22,B02,5,Potentially Life-Threatening,Potentially Life-Threatening.Other.B02,Potentially Life-Threatening.Other
Other,2,B01,9,Alarm,Alarm.Other.B01,Alarm.Other
Marine Fire,19,B01,35,Fire,Fire.Marine Fire.B01,Fire.Marine Fire
Medical Incident,1,B02,9,Non Life-threatening,Non Life-threatening.Medical Incident.B02,Non Life-threatening.Medical Incident
Medical Incident,8,B99,37,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B99,Potentially Life-Threatening.Medical Incident
Alarms,53,B10,29,Alarm,Alarm.Alarms.B10,Alarm.Alarms
Medical Incident,11162,B07,31,Non Life-threatening,Non Life-threatening.Medical Incident.B07,Non Life-threatening.Medical Incident
Electrical Hazard,32,B04,41,Alarm,Alarm.Electrical Hazard.B04,Alarm.Electrical Hazard
Alarms,6,B09,51,Alarm,Alarm.Alarms.B09,Alarm.Alarms
Medical Incident,714,B07,21,Non Life-threatening,Non Life-threatening.Medical Incident.B07,Non Life-threatening.Medical Incident
Odor (Strange / Unknown),67,B09,43,Alarm,Alarm.Odor (Strange / Unknown).B09,Alarm.Odor (Strange / Unknown)
Outside Fire,10,B99,16,Fire,Fire.Outside Fire.B99,Fire.Outside Fire
Outside Fire,1,B08,51,Fire,Fire.Outside Fire.B08,Fire.Outside Fire
Structure Fire,1,B03,10,Alarm,Alarm.Structure Fire.B03,Alarm.Structure Fire
Structure Fire,315,B04,41,Fire,Fire.Structure Fire.B04,Fire.Structure Fire
Medical Incident,9,B05,7,Non Life-threatening,Non Life-threatening.Medical Incident.B05,Non Life-threatening.Medical Incident
Medical Incident,7,B01,14,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B01,Potentially Life-Threatening.Medical Incident
Structure Fire,1261,B10,9,Alarm,Alarm.Structure Fire.B10,Alarm.Structure Fire
Other,7,B08,33,Non Life-threatening,Non Life-threatening.Other.B08,Non Life-threatening.Other
Traffic Collision,1326,B10,9,Non Life-threatening,Non Life-threatening.Traffic Collision.B10,Non Life-threatening.Traffic Collision
Other,5,B06,37,Alarm,Alarm.Other.B06,Alarm.Other
Assist Police,1,B99,32,Alarm,Alarm.Assist Police.B99,Alarm.Assist Police
Elevator / Escalator Rescue,28,B07,10,Alarm,Alarm.Elevator / Escalator Rescue.B07,Alarm.Elevator / Escalator Rescue
Citizen Assist / Service Call,1,B07,40,Alarm,Alarm.Citizen Assist / Service Call.B07,Alarm.Citizen Assist / Service Call
Odor (Strange / Unknown),1,B02,,Alarm,Alarm.Odor (Strange / Unknown).B02,Alarm.Odor (Strange / Unknown)
Alarms,20,B03,28,Alarm,Alarm.Alarms.B03,Alarm.Alarms
Smoke Investigation (Outside),2,B02,37,Alarm,Alarm.Smoke Investigation (Outside).B02,Alarm.Smoke Investigation (Outside)
Citizen Assist / Service Call,112,B09,42,Alarm,Alarm.Citizen Assist / Service Call.B09,Alarm.Citizen Assist / Service Call
Traffic Collision,9,B07,12,Non Life-threatening,Non Life-threatening.Traffic Collision.B07,Non Life-threatening.Traffic Collision
Traffic Collision,6,B09,,Non Life-threatening,Non Life-threatening.Traffic Collision.B09,Non Life-threatening.Traffic Collision
Citizen Assist / Service Call,221,B09,44,Alarm,Alarm.Citizen Assist / Service Call.B09,Alarm.Citizen Assist / Service Call
Structure Fire,26,B09,,Alarm,Alarm.Structure Fire.B09,Alarm.Structure Fire
Gas Leak (Natural and LP Gases),224,B05,12,Alarm,Alarm.Gas Leak (Natural and LP Gases).B05,Alarm.Gas Leak (Natural and LP Gases)
Assist Police,8,B01,2,Alarm,Alarm.Assist Police.B01,Alarm.Assist Police
Outside Fire,2,B04,38,Alarm,Alarm.Outside Fire.B04,Alarm.Outside Fire
HazMat,10,B03,13,Fire,Fire.HazMat.B03,Fire.HazMat
Medical Incident,57,B04,10,Alarm,Alarm.Medical Incident.B04,Alarm.Medical Incident
Medical Incident,1,B10,43,Non Life-threatening,Non Life-threatening.Medical Incident.B10,Non Life-threatening.Medical Incident
Outside Fire,504,B05,21,Fire,Fire.Outside Fire.B05,Fire.Outside Fire
Water Rescue,411,B03,8,Fire,Fire.Water Rescue.B03,Fire.Water Rescue
Smoke Investigation (Outside),48,B03,48,Alarm,Alarm.Smoke Investigation (Outside).B03,Alarm.Smoke Investigation (Outside)
Gas Leak (Natural and LP Gases),6,B05,20,Alarm,Alarm.Gas Leak (Natural and LP Gases).B05,Alarm.Gas Leak (Natural and LP Gases)
Elevator / Escalator Rescue,36,B04,5,Alarm,Alarm.Elevator / Escalator Rescue.B04,Alarm.Elevator / Escalator Rescue
Medical Incident,6311,B07,14,Non Life-threatening,Non Life-threatening.Medical Incident.B07,Non Life-threatening.Medical Incident
Medical Incident,11,B01,21,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B01,Potentially Life-Threatening.Medical Incident
Traffic Collision,3,B09,29,Non Life-threatening,Non Life-threatening.Traffic Collision.B09,Non Life-threatening.Traffic Collision
Odor (Strange / Unknown),12,B02,29,Alarm,Alarm.Odor (Strange / Unknown).B02,Alarm.Odor (Strange / Unknown)
Medical Incident,4930,B02,29,Non Life-threatening,Non Life-threatening.Medical Incident.B02,Non Life-threatening.Medical Incident
Medical Incident,6,B99,33,Non Life-threatening,Non Life-threatening.Medical Incident.B99,Non Life-threatening.Medical Incident
Explosion,14,B01,3,Fire,Fire.Explosion.B01,Fire.Explosion
Traffic Collision,357,B08,39,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B08,Potentially Life-Threatening.Traffic Collision
Water Rescue,5,B06,11,Fire,Fire.Water Rescue.B06,Fire.Water Rescue
Odor (Strange / Unknown),57,B07,14,Alarm,Alarm.Odor (Strange / Unknown).B07,Alarm.Odor (Strange / Unknown)
Outside Fire,31,B06,6,Fire,Fire.Outside Fire.B06,Fire.Outside Fire
Smoke Investigation (Outside),98,B08,23,Alarm,Alarm.Smoke Investigation (Outside).B08,Alarm.Smoke Investigation (Outside)
Other,29,B01,41,Non Life-threatening,Non Life-threatening.Other.B01,Non Life-threatening.Other
Confined Space / Structure Collapse,9,B04,3,Fire,Fire.Confined Space / Structure Collapse.B04,Fire.Confined Space / Structure Collapse
Medical Incident,14,B02,8,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B02,Potentially Life-Threatening.Medical Incident
Structure Fire,12,B03,28,Alarm,Alarm.Structure Fire.B03,Alarm.Structure Fire
Other,2,B99,25,Alarm,Alarm.Other.B99,Alarm.Other
Other,3,B01,,Alarm,Alarm.Other.B01,Alarm.Other
Alarms,11,B09,,Alarm,Alarm.Alarms.B09,Alarm.Alarms
Alarms,7,B07,12,Alarm,Alarm.Alarms.B07,Alarm.Alarms
Medical Incident,84,B02,,Non Life-threatening,Non Life-threatening.Medical Incident.B02,Non Life-threatening.Medical Incident
Alarms,3,B07,20,Alarm,Alarm.Alarms.B07,Alarm.Alarms
Other,13,B09,26,Non Life-threatening,Non Life-threatening.Other.B09,Non Life-threatening.Other
Water Rescue,148,B99,16,Fire,Fire.Water Rescue.B99,Fire.Water Rescue
Watercraft in Distress,20,B04,28,Fire,Fire.Watercraft in Distress.B04,Fire.Watercraft in Distress
Assist Police,2,B05,10,Alarm,Alarm.Assist Police.B05,Alarm.Assist Police
Vehicle Fire,2,B01,35,Fire,Fire.Vehicle Fire.B01,Fire.Vehicle Fire
Other,1,B03,37,Non Life-threatening,Non Life-threatening.Other.B03,Non Life-threatening.Other
Alarms,988,B10,9,Alarm,Alarm.Alarms.B10,Alarm.Alarms
Other,108,B06,7,Non Life-threatening,Non Life-threatening.Other.B06,Non Life-threatening.Other
Suspicious Package,3,B03,35,Fire,Fire.Suspicious Package.B03,Fire.Suspicious Package
Traffic Collision,9,B10,8,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B10,Potentially Life-Threatening.Traffic Collision
Fuel Spill,16,B04,41,Alarm,Alarm.Fuel Spill.B04,Alarm.Fuel Spill
Odor (Strange / Unknown),4,B07,21,Alarm,Alarm.Odor (Strange / Unknown).B07,Alarm.Odor (Strange / Unknown)
Medical Incident,12128,B09,43,Non Life-threatening,Non Life-threatening.Medical Incident.B09,Non Life-threatening.Medical Incident
Watercraft in Distress,3,B01,48,Fire,Fire.Watercraft in Distress.B01,Fire.Watercraft in Distress
Other,1,B07,8,Alarm,Alarm.Other.B07,Alarm.Other
Traffic Collision,249,B06,24,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B06,Potentially Life-Threatening.Traffic Collision
Structure Fire,123,B10,29,Alarm,Alarm.Structure Fire.B10,Alarm.Structure Fire
Odor (Strange / Unknown),110,B07,31,Alarm,Alarm.Odor (Strange / Unknown).B07,Alarm.Odor (Strange / Unknown)
Citizen Assist / Service Call,55,B05,24,Alarm,Alarm.Citizen Assist / Service Call.B05,Alarm.Citizen Assist / Service Call
Traffic Collision,30,B10,29,Non Life-threatening,Non Life-threatening.Traffic Collision.B10,Non Life-threatening.Traffic Collision
Traffic Collision,5,B09,9,Non Life-threatening,Non Life-threatening.Traffic Collision.B09,Non Life-threatening.Traffic Collision
Traffic Collision,1000,B06,32,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B06,Potentially Life-Threatening.Traffic Collision
Citizen Assist / Service Call,496,B07,34,Alarm,Alarm.Citizen Assist / Service Call.B07,Alarm.Citizen Assist / Service Call
Medical Incident,19742,B04,38,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B04,Potentially Life-Threatening.Medical Incident
Medical Incident,11,B02,35,Non Life-threatening,Non Life-threatening.Medical Incident.B02,Non Life-threatening.Medical Incident
Outside Fire,738,B03,8,Fire,Fire.Outside Fire.B03,Fire.Outside Fire
Citizen Assist / Service Call,397,B10,42,Alarm,Alarm.Citizen Assist / Service Call.B10,Alarm.Citizen Assist / Service Call
Traffic Collision,6,B10,,Non Life-threatening,Non Life-threatening.Traffic Collision.B10,Non Life-threatening.Traffic Collision
Gas Leak (Natural and LP Gases),329,B04,3,Alarm,Alarm.Gas Leak (Natural and LP Gases).B04,Alarm.Gas Leak (Natural and LP Gases)
Medical Incident,3,B06,15,Non Life-threatening,Non Life-threatening.Medical Incident.B06,Non Life-threatening.Medical Incident
Citizen Assist / Service Call,286,B10,44,Alarm,Alarm.Citizen Assist / Service Call.B10,Alarm.Citizen Assist / Service Call
Medical Incident,4,B06,25,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B06,Potentially Life-Threatening.Medical Incident
Structure Fire,24,B10,,Alarm,Alarm.Structure Fire.B10,Alarm.Structure Fire
Fuel Spill,9,B09,39,Alarm,Alarm.Fuel Spill.B09,Alarm.Fuel Spill
Outside Fire,25,B05,20,Fire,Fire.Outside Fire.B05,Fire.Outside Fire
Electrical Hazard,40,B03,35,Alarm,Alarm.Electrical Hazard.B03,Alarm.Electrical Hazard
Outside Fire,4,B08,39,Alarm,Alarm.Outside Fire.B08,Alarm.Outside Fire
Traffic Collision,4,B02,9,Non Life-threatening,Non Life-threatening.Traffic Collision.B02,Non Life-threatening.Traffic Collision
Other,4,B99,38,Alarm,Alarm.Other.B99,Alarm.Other
Odor (Strange / Unknown),1,B10,,Alarm,Alarm.Odor (Strange / Unknown).B10,Alarm.Odor (Strange / Unknown)
Outside Fire,387,B05,12,Fire,Fire.Outside Fire.B05,Fire.Outside Fire
