Call Type,Incident Number,Battalion,Station Area,Call Type Group
Citizen Assist / Service Call,39,B03,13,Alarm
Other,37,B08,22,Potentially Life-Threatening
Industrial Accidents,17,B03,35,Fire
Medical Incident,28643,B02,07,Potentially Life-Threatening
Smoke Investigation (Outside),49,B02,03,Alarm
Other,2,B10,32,Non Life-threatening
Structure Fire,1047,B04,05,Alarm
Vehicle Fire,140,B05,21,Fire
Medical Incident,4,B05,51,Potentially Life-Threatening
Gas Leak (Natural and LP Gases),109,B05,10,Alarm
Traffic Collision,227,B04,05,Non Life-threatening
Smoke Investigation (Outside),3,B06,29,Alarm
HazMat,59,B01,13,Alarm
Medical Incident,22,B01,08,Potentially Life-Threatening
Medical Incident,10,B01,41,Alarm
High Angle Rescue,8,B07,12,Fire
Traffic Collision,253,B01,02,Non Life-threatening
Electrical Hazard,5,B08,12,Alarm
Structure Fire,143,B08,20,Fire
Structure Fire,4845,B01,02,Alarm
"Extrication / Entrapped (Machinery, Vehicle)",7,B02,01,Fire
Traffic Collision,1,B99,24,Non Life-threatening
Train / Rail Incident,56,B09,26,Fire
Structure Fire,33,B08,12,Fire
Vehicle Fire,201,B09,43,Fire
Explosion,6,B02,03,Fire
Medical Incident,2,B01,29,Non Life-threatening
Other,285,B02,29,Alarm
Electrical Hazard,14,B08,20,Alarm
Alarms,2483,B05,10,Alarm
Medical Incident,29,B06,07,Alarm
Fuel Spill,16,B06,26,Alarm
Medical Incident,5,B07,35,Potentially Life-Threatening
Medical Incident,6,B09,26,Alarm
Traffic Collision,3,B99,32,Non Life-threatening
Fuel Spill,75,B01,28,Alarm
Other,4,B02,,Alarm
Other,7,B02,03,Potentially Life-Threatening
Medical Incident,32,B01,,Non Life-threatening
Fuel Spill,65,B04,16,Alarm
Medical Incident,12,B99,15,Potentially Life-Threatening
Smoke Investigation (Outside),107,B08,22,Alarm
Medical Incident,21,B99,25,Non Life-threatening
Medical Incident,25,B07,08,Non Life-threatening
Other,614,B09,43,Alarm
Medical Incident,10,B07,29,Potentially Life-Threatening
Elevator / Escalator Rescue,493,B04,03,Alarm
Vehicle Fire,246,B02,29,Fire
Electrical Hazard,17,B10,07,Alarm
Elevator / Escalator Rescue,1,B04,11,Alarm
Other,1,B02,35,Alarm
Medical Incident,28,B01,35,Non Life-threatening
Other,6,B04,28,Non Life-threatening
Medical Incident,31,B07,,Potentially Life-Threatening
Structure Fire,100,B10,07,Fire
Fuel Spill,1,B04,36,Alarm
Vehicle Fire,385,B10,09,Fire
Medical Incident,18,B99,38,Non Life-threatening
Outside Fire,55,B07,10,Fire
"Extrication / Entrapped (Machinery, Vehicle)",4,B02,05,Fire
Smoke Investigation (Outside),100,B09,15,Alarm
Outside Fire,3,B99,13,Fire
Vehicle Fire,1,B07,12,Fire
Citizen Assist / Service Call,1217,B02,03,Alarm
HazMat,2,B03,48,Fire
Outside Fire,136,B04,05,Fire
HazMat,1,B07,22,Alarm
Medical Incident,2,B09,19,Alarm
Elevator / Escalator Rescue,104,B05,21,Alarm
Electrical Hazard,1,B05,,Alarm
Assist Police,9,B09,43,Alarm
Other,5,B03,10,Alarm
Smoke Investigation (Outside),18,B03,13,Alarm
Fuel Spill,34,B02,07,Alarm
High Angle Rescue,6,B02,29,Fire
Structure Fire,21,B06,37,Alarm
Traffic Collision,2,B06,37,Non Life-threatening
Other,244,B10,09,Alarm
Medical Incident,4235,B05,10,Non Life-threatening
Traffic Collision,2,B03,07,Non Life-threatening
Alarms,63,B01,,Alarm
Other,23,B07,12,Alarm
Other,11,B09,,Alarm
Elevator / Escalator Rescue,66,B06,11,Alarm
Medical Incident,53,B02,36,Alarm
Odor (Strange / Unknown),48,B01,02,Alarm
Train / Rail Incident,14,B02,36,Fire
Elevator / Escalator Rescue,3,B99,16,Alarm
Medical Incident,5,B07,43,Potentially Life-Threatening
Traffic Collision,2,B07,51,Potentially Life-Threatening
Assist Police,11,B02,29,Alarm
Medical Incident,6142,B07,34,Non Life-threatening
Structure Fire,173,B99,51,Fire
Explosion,8,B10,09,Fire
Structure Fire,11,B10,04,Alarm
Traffic Collision,34,B07,22,Potentially Life-Threatening
Medical Incident,4097,B10,44,Non Life-threatening
Odor (Strange / Unknown),19,B02,01,Alarm
Citizen Assist / Service Call,3,B06,15,Alarm
Gas Leak (Natural and LP Gases),137,B08,23,Alarm
Electrical Hazard,22,B99,51,Alarm
Medical Incident,6881,B10,42,Non Life-threatening
Explosion,4,B09,,Fire
Elevator / Escalator Rescue,29,B08,22,Alarm
Fuel Spill,37,B05,06,Alarm
Medical Incident,1,B99,39,Non Life-threatening
Citizen Assist / Service Call,829,B09,43,Alarm
Medical Incident,1,B10,05,Non Life-threatening
Other,12,B10,09,Potentially Life-Threatening
Traffic Collision,153,B08,33,Potentially Life-Threatening
Outside Fire,1167,B01,13,Alarm
Structure Fire,782,B08,19,Fire
Medical Incident,78458,B02,36,Potentially Life-Threatening
Medical Incident,455,B05,24,Non Life-threatening
Other,1,B10,06,Alarm
Assist Police,4,B02,03,Alarm
Alarms,3763,B01,03,Alarm
Electrical Hazard,64,B08,19,Alarm
Electrical Hazard,1,B06,14,Alarm
Medical Incident,1543,B09,19,Potentially Life-Threatening
Traffic Collision,2,B02,42,Non Life-threatening
Odor (Strange / Unknown),16,B09,42,Alarm
Odor (Strange / Unknown),13,B09,44,Alarm
Other,2,B01,04,Alarm
Outside Fire,14,B03,36,Fire
Medical Incident,1,B02,04,Non Life-threatening
Medical Incident,2,B02,20,Alarm
Medical Incident,27,B99,28,Non Life-threatening
Traffic Collision,5,B10,36,Potentially Life-Threatening
Citizen Assist / Service Call,211,B02,29,Alarm
Medical Incident,9,B04,07,Potentially Life-Threatening
Smoke Investigation (Outside),69,B04,03,Alarm
Confined Space / Structure Collapse,6,B08,23,Fire
Assist Police,1,B99,07,Alarm
Other,2,B07,36,Alarm
Traffic Collision,391,B02,05,Non Life-threatening
Structure Fire,2533,B02,05,Alarm
Outside Fire,1,B07,22,Alarm
HazMat,1,B04,05,Fire
Other,30,B04,38,Non Life-threatening
Outside Fire,202,B03,48,Fire
Other,6,B99,07,Alarm
Odor (Strange / Unknown),36,B02,05,Alarm
Smoke Investigation (Outside),107,B05,21,Alarm
Explosion,19,B09,43,Fire
Vehicle Fire,86,B02,03,Fire
Gas Leak (Natural and LP Gases),198,B10,37,Alarm
Medical Incident,4,B07,03,Potentially Life-Threatening
Elevator / Escalator Rescue,37,B03,13,Alarm
Structure Fire,1077,B09,44,Alarm
Citizen Assist / Service Call,8,B07,12,Alarm
Citizen Assist / Service Call,4,B09,,Alarm
Traffic Collision,53,B09,42,Non Life-threatening
Outside Fire,15,B02,37,Fire
Structure Fire,316,B09,42,Alarm
Medical Incident,4,B07,11,Potentially Life-Threatening
Water Rescue,2,B99,08,Fire
Traffic Collision,169,B09,44,Non Life-threatening
Fuel Spill,45,B09,33,Alarm
Medical Incident,3,B10,01,Non Life-threatening
Traffic Collision,2036,B01,13,Potentially Life-Threatening
Electrical Hazard,16,B03,04,Alarm
Medical Incident,2,B02,19,Potentially Life-Threatening
Elevator / Escalator Rescue,40,B09,15,Alarm
Citizen Assist / Service Call,1,B07,20,Alarm
Structure Fire,75,B03,04,Fire
Other,42,B09,43,Potentially Life-Threatening
Citizen Assist / Service Call,174,B10,09,Alarm
Medical Incident,1517,B09,26,Potentially Life-Threatening
Marine Fire,36,B10,17,Fire
Alarms,10,B99,39,Alarm
Medical Incident,25172,B06,07,Potentially Life-Threatening
Medical Incident,526,B03,37,Potentially Life-Threatening
Other,449,B02,03,Alarm
Medical Incident,4532,B01,03,Non Life-threatening
Explosion,44,B02,29,Fire
Medical Incident,2,B09,36,Potentially Life-Threatening
Alarms,334,B05,24,Alarm
Aircraft Emergency,8,B01,28,Alarm
Outside Fire,21,B10,47,Fire
"Extrication / Entrapped (Machinery, Vehicle)",6,B01,02,Fire
Other,1,B05,05,Fire
Water Rescue,1533,B08,23,Fire
Medical Incident,3,B02,48,Potentially Life-Threatening
Traffic Collision,4,B99,10,Non Life-threatening
Alarms,2141,B07,34,Alarm
Medical Incident,1,B01,11,Non Life-threatening
Odor (Strange / Unknown),3,B99,51,Fire
Medical Incident,12533,B01,41,Potentially Life-Threatening
Structure Fire,10,B99,10,Alarm
Smoke Investigation (Outside),171,B06,11,Alarm
Fuel Spill,82,B03,01,Alarm
Other,39,B02,29,Potentially Life-Threatening
Alarms,1176,B10,44,Alarm
Traffic Collision,239,B02,01,Non Life-threatening
Confined Space / Structure Collapse,27,B10,37,Fire
Alarms,1391,B10,42,Alarm
Structure Fire,2130,B02,01,Alarm
Other,11,B07,14,Potentially Life-Threatening
Structure Fire,1495,B10,44,Alarm
Citizen Assist / Service Call,3,B10,,Alarm
Traffic Collision,1143,B10,42,Non Life-threatening
Structure Fire,2231,B10,42,Alarm
Traffic Collision,1087,B10,44,Non Life-threatening
Alarms,3386,B02,01,Alarm
Smoke Investigation (Outside),76,B03,08,Alarm
Assist Police,6,B01,01,Alarm
Structure Fire,1852,B03,01,Fire
Water Rescue,573,B03,48,Fire
Odor (Strange / Unknown),3,B05,06,Fire
Structure Fire,1991,B07,34,Alarm
Traffic Collision,348,B07,34,Non Life-threatening
Medical Incident,8,B10,04,Non Life-threatening
Alarms,12,B99,10,Alarm
Electrical Hazard,94,B03,01,Alarm
Medical Incident,531,B07,22,Potentially Life-Threatening
Outside Fire,1,B01,15,Fire
Structure Fire,327,B05,24,Alarm
Explosion,18,B07,14,Fire
Citizen Assist / Service Call,15,B10,29,Alarm
Traffic Collision,5022,B02,36,Potentially Life-Threatening
Traffic Collision,50,B05,24,Non Life-threatening
Elevator / Escalator Rescue,2,B04,51,Alarm
Gas Leak (Natural and LP Gases),8,B03,36,Alarm
Odor (Strange / Unknown),17,B01,03,Alarm
Other,830,B10,17,Alarm
Medical Incident,2649,B08,33,Potentially Life-Threatening
Vehicle Fire,87,B02,06,Fire
Fuel Spill,17,B03,04,Alarm
Suspicious Package,1,B05,06,Fire
Electrical Hazard,281,B09,33,Alarm
Confined Space / Structure Collapse,7,B03,36,Fire
Administrative,1,B06,07,Fire
Other,26,B07,31,Potentially Life-Threatening
Medical Incident,2,B01,22,Non Life-threatening
Outside Fire,5,B06,07,Alarm
Medical Incident,1,B03,33,Non Life-threatening
Traffic Collision,119,B09,19,Potentially Life-Threatening
Alarms,5,B05,38,Alarm
Alarms,1375,B09,44,Alarm
Structure Fire,900,B09,33,Fire
Other,1,B01,44,Alarm
Water Rescue,22,B10,47,Fire
Medical Incident,2,B02,42,Non Life-threatening
Alarms,345,B09,42,Alarm
Outside Fire,549,B08,23,Fire
Smoke Investigation (Outside),16,B06,06,Alarm
Medical Incident,7,B10,26,Potentially Life-Threatening
Medical Incident,2,B07,18,Non Life-threatening
Vehicle Fire,746,B10,17,Fire
Other,2,B01,05,Alarm
Medical Incident,5780,B02,05,Non Life-threatening
Electrical Hazard,3,B06,20,Alarm
Explosion,7,B07,31,Fire
Medical Incident,2,B10,36,Potentially Life-Threatening
Medical Incident,2,B01,06,Non Life-threatening
Structure Fire,22,B06,20,Fire
Other,411,B02,06,Alarm
Alarms,3536,B02,05,Alarm
Medical Incident,1,B09,05,Non Life-threatening
Other,42,B06,32,Non Life-threatening
Elevator / Escalator Rescue,2,B99,31,Alarm
Assist Police,7,B02,06,Alarm
Citizen Assist / Service Call,592,B07,14,Alarm
Explosion,6,B10,29,Fire
High Angle Rescue,6,B02,06,Fire
Other,1,B10,11,Alarm
Vehicle Fire,13,B01,01,Fire
Outside Fire,14,B02,36,Alarm
Gas Leak (Natural and LP Gases),8,B10,47,Alarm
Medical Incident,2,B10,48,Potentially Life-Threatening
Medical Incident,2972,B09,44,Non Life-threatening
Traffic Collision,5,B10,01,Non Life-threatening
Medical Incident,29201,B01,13,Potentially Life-Threatening
Other,10,B06,24,Non Life-threatening
Medical Incident,1951,B09,42,Non Life-threatening
Medical Incident,3,B07,40,Non Life-threatening
Medical Incident,5,B05,38,Non Life-threatening
Structure Fire,2207,B01,03,Alarm
Other,2,B03,38,Alarm
Traffic Collision,185,B01,03,Non Life-threatening
Assist Police,7,B10,17,Alarm
Citizen Assist / Service Call,930,B07,31,Alarm
Gas Leak (Natural and LP Gases),4,B02,37,Alarm
Fuel Spill,32,B08,19,Alarm
Traffic Collision,301,B09,26,Potentially Life-Threatening
Traffic Collision,1461,B06,07,Potentially Life-Threatening
Traffic Collision,64,B03,37,Potentially Life-Threatening
Citizen Assist / Service Call,54,B07,21,Alarm
Structure Fire,962,B05,06,Fire
Other,12,B08,39,Non Life-threatening
Odor (Strange / Unknown),1,B03,01,Fire
Smoke Investigation (Outside),89,B05,12,Alarm
Outside Fire,456,B10,37,Fire
Odor (Strange / Unknown),55,B10,42,Alarm
Alarms,3,B09,01,Alarm
Odor (Strange / Unknown),27,B10,44,Alarm
Medical Incident,11792,B02,01,Non Life-threatening
Other,227,B01,01,Alarm
Suspicious Package,11,B09,33,Fire
Electrical Hazard,150,B05,06,Alarm
High Angle Rescue,8,B10,17,Fire
Traffic Collision,718,B01,41,Potentially Life-Threatening
Gas Leak (Natural and LP Gases),134,B03,48,Alarm
Smoke Investigation (Outside),11,B05,20,Alarm
Medical Incident,37,B99,10,Non Life-threatening
Alarms,18,B10,04,Alarm
Odor (Strange / Unknown),56,B07,34,Alarm
Fuel Spill,14,B99,51,Alarm
Medical Incident,2,B99,24,Non Life-threatening
Other,54,B01,01,Potentially Life-Threatening
Structure Fire,10,B01,29,Alarm
Citizen Assist / Service Call,612,B02,06,Alarm
Smoke Investigation (Outside),1,B04,51,Alarm
Assist Police,9,B07,14,Alarm
Medical Incident,1,B05,39,Non Life-threatening
Vehicle Fire,15,B10,29,Fire
Medical Incident,9658,B01,02,Non Life-threatening
Explosion,11,B01,01,Fire
Structure Fire,34,B01,,Alarm
Traffic Collision,1,B99,25,Non Life-threatening
Other,4,B03,28,Alarm
Traffic Collision,2,B01,,Non Life-threatening
Odor (Strange / Unknown),3,B04,16,Fire
Electrical Hazard,93,B02,07,Alarm
Elevator / Escalator Rescue,231,B03,08,Alarm
Odor (Strange / Unknown),15,B05,10,Alarm
Alarms,5,B03,07,Alarm
High Angle Rescue,56,B07,14,Fire
Odor (Strange / Unknown),3,B06,26,Fire
Structure Fire,747,B02,07,Fire
Medical Incident,10,B99,32,Non Life-threatening
Alarms,12,B01,51,Alarm
Elevator / Escalator Rescue,6,B06,06,Alarm
Other,5,B10,29,Alarm
Traffic Collision,2,B06,33,Potentially Life-Threatening
Medical Incident,13,B01,13,Alarm
Assist Police,12,B07,31,Alarm
HazMat,11,B01,41,Alarm
Citizen Assist / Service Call,1105,B10,17,Alarm
Traffic Collision,4,B07,,Potentially Life-Threatening
Other,2,B09,09,Alarm
HazMat,1,B09,26,Alarm
Other,4,B10,,Alarm
HazMat,3,B03,37,Alarm
Structure Fire,90,B01,35,Alarm
HazMat,4,B06,07,Alarm
HazMat,61,B02,36,Alarm
Other,1,B02,09,Alarm
Fuel Spill,3,B10,07,Alarm
Traffic Collision,4,B02,12,Potentially Life-Threatening
Other,19,B02,06,Potentially Life-Threatening
Other,26,B03,35,Fire
Smoke Investigation (Outside),40,B06,09,Alarm
Traffic Collision,7,B99,38,Non Life-threatening
Citizen Assist / Service Call,144,B01,01,Alarm
Vehicle Fire,78,B07,14,Fire
Other,49,B07,21,Alarm
Medical Incident,3,B01,51,Non Life-threatening
Smoke Investigation (Outside),3,B99,31,Alarm
Explosion,29,B02,06,Fire
Aircraft Emergency,81,B09,44,Fire
Traffic Collision,3,B10,21,Potentially Life-Threatening
Other,672,B07,31,Alarm
Medical Incident,2,B08,07,Potentially Life-Threatening
Alarms,3,B05,28,Alarm
HazMat,1,B10,37,Fire
Structure Fire,1109,B04,16,Fire
Other,105,B10,17,Potentially Life-Threatening
Structure Fire,1088,B01,28,Fire
Other,2,B07,23,Non Life-threatening
Electrical Hazard,89,B06,26,Alarm
Vehicle Fire,4,B02,09,Fire
Elevator / Escalator Rescue,35,B05,12,Alarm
Electrical Hazard,146,B04,16,Alarm
Odor (Strange / Unknown),4,B02,07,Fire
Medical Incident,4,B10,12,Potentially Life-Threatening
Medical Incident,11,B06,37,Non Life-threatening
Structure Fire,354,B06,26,Fire
Medical Incident,9,B08,33,Alarm
Electrical Hazard,116,B01,28,Alarm
Medical Incident,4,B03,07,Non Life-threatening
Traffic Collision,326,B05,10,Non Life-threatening
Gas Leak (Natural and LP Gases),49,B04,05,Alarm
Structure Fire,1550,B05,10,Alarm
Industrial Accidents,18,B04,38,Fire
Smoke Investigation (Outside),2,B99,14,Alarm
Gas Leak (Natural and LP Gases),104,B07,10,Alarm
Explosion,11,B10,17,Fire
Vehicle Fire,12,B07,21,Fire
Medical Incident,35,B02,21,Potentially Life-Threatening
Other,451,B07,14,Alarm
"Extrication / Entrapped (Machinery, Vehicle)",4,B10,42,Fire
Medical Incident,32,B02,31,Potentially Life-Threatening
Vehicle Fire,180,B07,31,Fire
Other,2,B10,43,Alarm
Fuel Spill,3,B08,20,Alarm
Alarms,7678,B01,02,Alarm
Other,7,B04,10,Non Life-threatening
Mutual Aid / Assist Outside Agency,3,B02,05,Fire
"Extrication / Entrapped (Machinery, Vehicle)",15,B07,34,Fire
Elevator / Escalator Rescue,12,B03,36,Alarm
Medical Incident,4988,B04,10,Potentially Life-Threatening
Medical Incident,4,B09,40,Potentially Life-Threatening
Gas Leak (Natural and LP Gases),6,B04,51,Alarm
Water Rescue,63,B05,16,Fire
Other,1,B10,04,Alarm
Medical Incident,2,B08,25,Potentially Life-Threatening
Other,471,B99,51,Fire
Assist Police,3,B02,01,Alarm
Water Rescue,251,B99,14,Fire
Alarms,5083,B01,01,Alarm
HazMat,6,B04,03,Fire
Traffic Collision,3,B08,24,Potentially Life-Threatening
"Extrication / Entrapped (Machinery, Vehicle)",15,B10,09,Fire
Train / Rail Fire,10,B09,15,Fire
Odor (Strange / Unknown),59,B02,03,Alarm
Medical Incident,14460,B10,17,Non Life-threatening
Vehicle Fire,65,B02,05,Fire
Fuel Spill,64,B10,25,Alarm
Medical Incident,2,B07,05,Potentially Life-Threatening
Medical Incident,9,B07,23,Potentially Life-Threatening
Medical Incident,1,B09,13,Potentially Life-Threatening
Outside Fire,425,B08,22,Fire
Other,1,B03,33,Alarm
Medical Incident,3,B02,22,Non Life-threatening
Assist Police,3,B09,42,Alarm
Vehicle Fire,2,B09,01,Fire
Smoke Investigation (Outside),2,B06,42,Alarm
Outside Fire,1,B06,,Fire
Alarms,6,B09,06,Alarm
Medical Incident,10513,B02,06,Non Life-threatening
Medical Incident,2,B03,15,Potentially Life-Threatening
Structure Fire,495,B08,40,Fire
Other,214,B02,05,Alarm
Citizen Assist / Service Call,630,B01,02,Alarm
Medical Incident,2,B01,05,Non Life-threatening
Outside Fire,1,B06,29,Fire
Other,5,B07,18,Alarm
Electrical Hazard,203,B08,40,Alarm
Traffic Collision,6,B03,32,Non Life-threatening
Structure Fire,10,B09,17,Alarm
Elevator / Escalator Rescue,2,B10,47,Alarm
Outside Fire,1,B03,40,Fire
Medical Incident,6,B10,03,Non Life-threatening
Traffic Collision,51,B01,16,Potentially Life-Threatening
Alarms,4721,B02,06,Alarm
Traffic Collision,96,B04,28,Potentially Life-Threatening
Gas Leak (Natural and LP Gases),67,B06,09,Alarm
Medical Incident,11,B06,32,Alarm
Assist Police,1,B02,05,Alarm
Fuel Spill,12,B09,32,Alarm
Traffic Collision,6,B99,07,Non Life-threatening
Industrial Accidents,22,B02,36,Fire
HazMat,2,B06,11,Fire
Electrical Hazard,558,B08,18,Alarm
Other,103,B09,42,Alarm
Medical Incident,1,B06,24,Alarm
Vehicle Fire,2,B99,10,Fire
Other,2217,B09,44,Alarm
Medical Incident,6,B02,13,Potentially Life-Threatening
"Extrication / Entrapped (Machinery, Vehicle)",5,B09,43,Fire
Structure Fire,741,B08,18,Fire
Citizen Assist / Service Call,2,B06,37,Alarm
Medical Incident,47,B07,01,Potentially Life-Threatening
Gas Leak (Natural and LP Gases),2,B99,31,Alarm
Vehicle Fire,28,B02,01,Fire
Medical Incident,5,B10,11,Non Life-threatening
Outside Fire,83,B03,13,Fire
HazMat,4,B04,38,Alarm
HazMat,3,B05,21,Fire
Structure Fire,98,B10,32,Fire
Explosion,36,B01,02,Fire
Smoke Investigation (Outside),17,B04,05,Alarm
Electrical Hazard,26,B10,32,Alarm
Elevator / Escalator Rescue,2,B03,48,Alarm
Fuel Spill,4,B03,03,Alarm
Alarms,4251,B10,17,Alarm
Traffic Collision,422,B02,03,Non Life-threatening
Structure Fire,5599,B02,03,Alarm
Outside Fire,2,B06,43,Fire
Outside Fire,4,B04,,Fire
Vehicle Fire,26,B09,42,Fire
Other,13,B99,10,Alarm
Vehicle Fire,96,B09,44,Fire
Traffic Collision,1,B02,41,Potentially Life-Threatening
Traffic Collision,2,B02,11,Non Life-threatening
Gas Leak (Natural and LP Gases),1,B99,14,Alarm
Other,28,B01,02,Potentially Life-Threatening
Smoke Investigation (Outside),25,B07,10,Alarm
Outside Fire,343,B09,15,Fire
Structure Fire,481,B05,05,Fire
Medical Incident,5,B02,40,Potentially Life-Threatening
Medical Incident,5732,B01,01,Non Life-threatening
Other,255,B02,01,Alarm
Marine Fire,1,B07,34,Fire
Water Rescue,225,B04,51,Fire
Medical Incident,9,B08,39,Alarm
Electrical Hazard,33,B05,05,Alarm
"Extrication / Entrapped (Machinery, Vehicle)",7,B02,29,Fire
Other,408,B01,02,Alarm
Citizen Assist / Service Call,510,B02,05,Alarm
Gas Leak (Natural and LP Gases),208,B03,08,Alarm
Medical Incident,2,B02,02,Non Life-threatening
Outside Fire,524,B04,03,Fire
Citizen Assist / Service Call,2,B07,18,Alarm
Traffic Collision,2,B02,08,Potentially Life-Threatening
Citizen Assist / Service Call,1,B01,06,Alarm
Medical Incident,5902,B08,39,Potentially Life-Threatening
Structure Fire,1554,B02,29,Alarm
Traffic Collision,902,B02,29,Non Life-threatening
Fuel Spill,20,B03,29,Alarm
Alarms,3294,B07,14,Alarm
Smoke Investigation (Outside),1,B03,36,Alarm
Odor (Strange / Unknown),13,B10,09,Alarm
Medical Incident,37,B03,28,Non Life-threatening
"Extrication / Entrapped (Machinery, Vehicle)",13,B02,03,Fire
Traffic Collision,14,B02,,Non Life-threatening
Structure Fire,47,B02,,Alarm
Medical Incident,2,B10,35,Non Life-threatening
Explosion,27,B02,01,Fire
Medical Incident,2,3E,E2,Non Life-threatening
Other,16,B09,42,Potentially Life-Threatening
Medical Incident,4027,B06,24,Potentially Life-Threatening
Other,6,B09,44,Potentially Life-Threatening
Other,83,B01,13,Non Life-threatening
Vehicle Fire,86,B01,02,Fire
Medical Incident,129,B10,29,Non Life-threatening
Alarms,4545,B07,31,Alarm
Medical Incident,9,B10,08,Potentially Life-Threatening
Alarms,5,B05,07,Alarm
Traffic Collision,835,B09,43,Non Life-threatening
Alarms,278,B07,21,Alarm
Gas Leak (Natural and LP Gases),2,B08,,Alarm
Structure Fire,5208,B09,43,Alarm
Confined Space / Structure Collapse,14,B03,08,Fire
Structure Fire,10,B02,35,Alarm
Traffic Collision,1231,B04,38,Potentially Life-Threatening
Explosion,3,B09,44,Fire
Traffic Collision,3,B06,15,Non Life-threatening
Gas Leak (Natural and LP Gases),21,B06,06,Alarm
Fuel Spill,66,B03,35,Alarm
Electrical Hazard,63,B09,39,Alarm
Medical Incident,28,B10,,Non Life-threatening
HazMat,1,B08,22,Fire
Medical Incident,3,B09,09,Non Life-threatening
Medical Incident,7,B03,39,Non Life-threatening
Structure Fire,185,B09,39,Fire
Medical Incident,10563,B06,32,Potentially Life-Threatening
Citizen Assist / Service Call,368,B02,01,Alarm
Alarms,27,B10,,Alarm
Outside Fire,488,B06,11,Fire
Traffic Collision,2,B09,35,Non Life-threatening
Confined Space / Structure Collapse,8,B05,20,Fire
Other,22,B02,05,Potentially Life-Threatening
Other,2,B01,09,Alarm
Marine Fire,19,B01,35,Fire
Medical Incident,1,B02,09,Non Life-threatening
Medical Incident,8,B99,37,Potentially Life-Threatening
Alarms,53,B10,29,Alarm
Medical Incident,11162,B07,31,Non Life-threatening
Electrical Hazard,32,B04,41,Alarm
Alarms,6,B09,51,Alarm
Medical Incident,714,B07,21,Non Life-threatening
Odor (Strange / Unknown),67,B09,43,Alarm
Outside Fire,10,B99,16,Fire
Outside Fire,1,B08,51,Fire
Structure Fire,1,B03,10,Alarm
Structure Fire,315,B04,41,Fire
Medical Incident,9,B05,07,Non Life-threatening
Medical Incident,7,B01,14,Potentially Life-Threatening
Structure Fire,1261,B10,09,Alarm
Other,7,B08,33,Non Life-threatening
Traffic Collision,1326,B10,09,Non Life-threatening
Other,5,B06,37,Alarm
Assist Police,1,B99,32,Alarm
Elevator / Escalator Rescue,28,B07,10,Alarm
Citizen Assist / Service Call,1,B07,40,Alarm
Odor (Strange / Unknown),1,B02,,Alarm
Alarms,20,B03,28,Alarm
Smoke Investigation (Outside),2,B02,37,Alarm
Citizen Assist / Service Call,112,B09,42,Alarm
Traffic Collision,9,B07,12,Non Life-threatening
Traffic Collision,6,B09,,Non Life-threatening
Citizen Assist / Service Call,221,B09,44,Alarm
Structure Fire,26,B09,,Alarm
Gas Leak (Natural and LP Gases),224,B05,12,Alarm
Assist Police,8,B01,02,Alarm
Outside Fire,2,B04,38,Alarm
HazMat,10,B03,13,Fire
Medical Incident,57,B04,10,Alarm
Medical Incident,1,B10,43,Non Life-threatening
Outside Fire,504,B05,21,Fire
Water Rescue,411,B03,08,Fire
Smoke Investigation (Outside),48,B03,48,Alarm
Gas Leak (Natural and LP Gases),6,B05,20,Alarm
Elevator / Escalator Rescue,36,B04,05,Alarm
Medical Incident,6311,B07,14,Non Life-threatening
Medical Incident,11,B01,21,Potentially Life-Threatening
Traffic Collision,3,B09,29,Non Life-threatening
Odor (Strange / Unknown),12,B02,29,Alarm
Medical Incident,4930,B02,29,Non Life-threatening
Medical Incident,6,B99,33,Non Life-threatening
Explosion,14,B01,03,Fire
Traffic Collision,357,B08,39,Potentially Life-Threatening
Water Rescue,5,B06,11,Fire
Odor (Strange / Unknown),57,B07,14,Alarm
Outside Fire,31,B06,06,Fire
Smoke Investigation (Outside),98,B08,23,Alarm
Other,29,B01,41,Non Life-threatening
Confined Space / Structure Collapse,9,B04,03,Fire
Medical Incident,14,B02,08,Potentially Life-Threatening
Structure Fire,12,B03,28,Alarm
Other,2,B99,25,Alarm
Other,3,B01,,Alarm
Alarms,11,B09,,Alarm
Alarms,7,B07,12,Alarm
Medical Incident,84,B02,,Non Life-threatening
Alarms,3,B07,20,Alarm
Other,13,B09,26,Non Life-threatening
Water Rescue,148,B99,16,Fire
Watercraft in Distress,20,B04,28,Fire
Assist Police,2,B05,10,Alarm
Vehicle Fire,2,B01,35,Fire
Other,1,B03,37,Non Life-threatening
Alarms,988,B10,09,Alarm
Other,108,B06,07,Non Life-threatening
Suspicious Package,3,B03,35,Fire
Traffic Collision,9,B10,08,Potentially Life-Threatening
Fuel Spill,16,B04,41,Alarm
Odor (Strange / Unknown),4,B07,21,Alarm
Medical Incident,12128,B09,43,Non Life-threatening
Watercraft in Distress,3,B01,48,Fire
Other,1,B07,08,Alarm
Traffic Collision,249,B06,24,Potentially Life-Threatening
Structure Fire,123,B10,29,Alarm
Odor (Strange / Unknown),110,B07,31,Alarm
Citizen Assist / Service Call,55,B05,24,Alarm
Traffic Collision,30,B10,29,Non Life-threatening
Traffic Collision,5,B09,09,Non Life-threatening
Traffic Collision,1000,B06,32,Potentially Life-Threatening
Citizen Assist / Service Call,496,B07,34,Alarm
Medical Incident,19742,B04,38,Potentially Life-Threatening
Medical Incident,11,B02,35,Non Life-threatening
Outside Fire,738,B03,08,Fire
