Call Type Group,Call Type,Battalion,Station Area
Non Life-threatening,Traffic Collision,B05,24
Non Life-threatening,Medical Incident,B08,40
Fire,Confined Space / Structure Collapse,B05,20
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B08,19
Alarm,Medical Incident,B08,39
Potentially Life-Threatening,Medical Incident,B08,29
Alarm,Other,B03,13
Non Life-threatening,Medical Incident,B99,12
Alarm,Other,B02,12
Alarm,Other,B01,03
Alarm,Fuel Spill,B99,31
Non Life-threatening,Medical Incident,B04,07
Alarm,Other,B04,51
Alarm,Medical Incident,B10,44
Potentially Life-Threatening,Medical Incident,B99,23
Alarm,Medical Incident,B10,42
Non Life-threatening,Traffic Collision,B03,37
Potentially Life-Threatening,Medical Incident,B99,05
Alarm,Outside Fire,B09,43
Non Life-threatening,Medical Incident,B99,20
Fire,Outside Fire,B99,10
Alarm,Elevator / Escalator Rescue,B07,14
Alarm,Other,B04,22
Non Life-threatening,Traffic Collision,B06,07
Potentially Life-Threatening,Traffic Collision,B10,07
Alarm,Other,B04,06
Fire,Confined Space / Structure Collapse,B03,03
Fire,Confined Space / Structure Collapse,B01,13
Non Life-threatening,Traffic Collision,B05,10
Potentially Life-Threatening,Medical Incident,B07,18
Fire,Vehicle Fire,B08,40
Alarm,Citizen Assist / Service Call,B06,11
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B01,28
Potentially Life-Threatening,Traffic Collision,B09,39
Potentially Life-Threatening,Traffic Collision,B07,34
Non Life-threatening,Medical Incident,B99,36
Alarm,Alarms,B03,31
Alarm,Other,B02,36
Alarm,Medical Incident,B04,31
Alarm,Outside Fire,B04,16
Alarm,Elevator / Escalator Rescue,B07,21
Fire,Water Rescue,B05,16
Fire,Watercraft in Distress,B10,25
Alarm,Fuel Spill,B05,10
Alarm,Elevator / Escalator Rescue,B99,06
Non Life-threatening,Medical Incident,B99,26
Alarm,Medical Incident,B03,01
Alarm,Electrical Hazard,B09,15
Alarm,Elevator / Escalator Rescue,B07,31
Alarm,Citizen Assist / Service Call,B05,01
Potentially Life-Threatening,Other,B01,28
Alarm,Medical Incident,B06,26
Fire,Outside Fire,B01,41
Alarm,Fuel Spill,B06,07
Fire,Structure Fire,B06,11
Fire,Outside Fire,B10,09
Non Life-threatening,Medical Incident,B04,33
Alarm,Citizen Assist / Service Call,B04,51
Alarm,Medical Incident,B02,29
Alarm,Outside Fire,B10,04
Potentially Life-Threatening,Traffic Collision,B08,22
Non Life-threatening,Other,B99,29
Fire,HazMat,B05,21
Fire,Train / Rail Incident,B09,33
Alarm,Outside Fire,B02,06
Alarm,Fuel Spill,B10,37
Non Life-threatening,Medical Incident,B99,48
Alarm,Citizen Assist / Service Call,B03,13
Fire,Odor (Strange / Unknown),B06,11
Fire,Other,B03,48
Alarm,Citizen Assist / Service Call,B01,03
Alarm,Assist Police,B02,36
Fire,Structure Fire,B05,05
Alarm,Smoke Investigation (Outside),B99,51
Potentially Life-Threatening,Other,B08,20
Alarm,Smoke Investigation (Outside),B02,07
Non Life-threatening,Other,B08,23
Potentially Life-Threatening,Medical Incident,B07,13
Fire,Outside Fire,B08,33
Alarm,HazMat,B03,04
Fire,Water Rescue,B01,13
Alarm,Gas Leak (Natural and LP Gases),B09,32
Fire,Explosion,B09,15
Non Life-threatening,Medical Incident,B10,47
Alarm,HazMat,B09,43
Non Life-threatening,Medical Incident,B99,19
Fire,Structure Fire,B03,13
Alarm,Alarms,B04,05
Fire,Suspicious Package,B06,11
Alarm,Alarms,B07,10
Non Life-threatening,Medical Incident,B09,15
Fire,Structure Fire,B01,03
Alarm,Other,B02,19
Non Life-threatening,Medical Incident,B05,39
Alarm,Citizen Assist / Service Call,B05,05
Non Life-threatening,Medical Incident,B07,29
Fire,Vehicle Fire,B08,18
Non Life-threatening,Traffic Collision,B10,37
Potentially Life-Threatening,Medical Incident,B07,40
Potentially Life-Threatening,Medical Incident,B09,10
Alarm,Other,B02,16
Non Life-threatening,Medical Incident,B99,16
Fire,Outside Fire,B02,03
Alarm,Alarms,B04,51
Alarm,Outside Fire,B01,13
Non Life-threatening,Traffic Collision,B08,26
Alarm,Electrical Hazard,B06,24
Alarm,Outside Fire,B03,03
Fire,Vehicle Fire,B04,38
Non Life-threatening,Medical Incident,B04,28
Alarm,Medical Incident,B04,13
Alarm,Alarms,B01,03
Fire,Structure Fire,B07,10
Alarm,HazMat,B04,41
Fire,Structure Fire,B04,05
Potentially Life-Threatening,Traffic Collision,B09,33
Alarm,Alarms,B03,13
Fire,Marine Fire,B01,28
Alarm,HazMat,B02,01
Alarm,Odor (Strange / Unknown),B06,06
Alarm,Electrical Hazard,B06,32
Fire,Vehicle Fire,B02,37
Fire,HazMat,B03,01
Potentially Life-Threatening,Traffic Collision,B99,03
Alarm,Citizen Assist / Service Call,B07,10
Fire,Industrial Accidents,B07,14
Alarm,Citizen Assist / Service Call,B04,05
Fire,Confined Space / Structure Collapse,B04,16
Fire,Other,B03,08
Alarm,Alarms,B05,05
Alarm,Other,B02,08
Non Life-threatening,Medical Incident,B99,08
Potentially Life-Threatening,Medical Incident,B03,10
Alarm,Medical Incident,B09,44
Alarm,Medical Incident,B09,42
Alarm,Assist Police,B05,06
Potentially Life-Threatening,Traffic Collision,B99,11
Alarm,Other,B01,04
Fire,Vehicle Fire,B08,14
Fire,Outside Fire,B06,20
Non Life-threatening,Medical Incident,B06,24
Non Life-threatening,Traffic Collision,B08,19
Alarm,HazMat,B10,17
Potentially Life-Threatening,Traffic Collision,B07,12
Fire,Outside Fire,B08,39
Non Life-threatening,Traffic Collision,B07,23
Non Life-threatening,Traffic Collision,B04,10
Alarm,HazMat,B03,35
Alarm,Electrical Hazard,B04,28
Alarm,Other,B05,06
Alarm,Structure Fire,B02,21
Potentially Life-Threatening,Medical Incident,B07,14
Non Life-threatening,Traffic Collision,B06,25
Potentially Life-Threatening,Traffic Collision,B10,25
Alarm,Gas Leak (Natural and LP Gases),B99,51
Fire,Watercraft in Distress,B07,34
Alarm,Gas Leak (Natural and LP Gases),B02,07
Fire,Other,B04,03
Alarm,Alarms,B06,11
Potentially Life-Threatening,Medical Incident,B10,32
Alarm,HazMat,B02,05
Non Life-threatening,Medical Incident,B06,32
Fire,Outside Fire,B10,42
Fire,Outside Fire,B10,44
Alarm,Smoke Investigation (Outside),B09,32
Fire,Confined Space / Structure Collapse,B02,06
Alarm,Citizen Assist / Service Call,B03,31
Alarm,HazMat,B05,12
Potentially Life-Threatening,Medical Incident,B99,22
Potentially Life-Threatening,Water Rescue,B99,51
Alarm,Structure Fire,B06,06
Fire,Explosion,B06,32
Potentially Life-Threatening,Other,B05,24
Potentially Life-Threatening,Traffic Collision,B03,28
Fire,Explosion,B06,24
Alarm,Alarms,B05,01
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B07,22
Potentially Life-Threatening,Medical Incident,B07,21
Alarm,HazMat,B03,29
Alarm,Medical Incident,B05,21
Alarm,Fuel Spill,B04,10
Potentially Life-Threatening,Medical Incident,B07,31
Alarm,Fuel Spill,B08,19
Fire,Water Rescue,B04,16
Fire,Odor (Strange / Unknown),B07,10
Potentially Life-Threatening,Medical Incident,B99,06
Fire,Mutual Aid / Assist Outside Agency,B08,40
Alarm,Aircraft Emergency,B01,28
Potentially Life-Threatening,Medical Incident,B99,09
Fire,Suspicious Package,B05,06
Fire,Outside Fire,B03,01
Alarm,Odor (Strange / Unknown),B09,26
Alarm,Fuel Spill,B01,28
Fire,Outside Fire,B01,16
Non Life-threatening,Other,B10,07
Potentially Life-Threatening,Other,B06,07
Alarm,Outside Fire,B02,01
Alarm,Structure Fire,B06,09
Alarm,Gas Leak (Natural and LP Gases),B07,14
Alarm,HazMat,B01,13
Fire,Water Rescue,B03,04
Fire,Outside Fire,B06,26
Alarm,Medical Incident,B01,41
Non Life-threatening,Medical Incident,B99,34
Fire,HazMat,B02,03
Alarm,Other,B07,10
Potentially Life-Threatening,Medical Incident,B99,51
Potentially Life-Threatening,Medical Incident,B02,07
Alarm,Other,B04,05
Alarm,Structure Fire,B01,02
Alarm,Medical Incident,B10,09
Alarm,Other,B09,40
Non Life-threatening,Other,B09,39
Alarm,Gas Leak (Natural and LP Gases),B10,32
Alarm,Outside Fire,B04,41
Fire,Water Rescue,B09,43
Fire,Odor (Strange / Unknown),B05,06
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B06,07
Non Life-threatening,Other,B07,34
Non Life-threatening,Medical Incident,B05,07
Alarm,Electrical Hazard,B02,37
Alarm,Structure Fire,B03,08
Fire,Structure Fire,B02,08
Potentially Life-Threatening,Medical Incident,B06,15
Non Life-threatening,Medical Incident,B10,15
Fire,Vehicle Fire,B06,32
Fire,Vehicle Fire,B06,24
Fire,High Angle Rescue,B04,28
Alarm,Gas Leak (Natural and LP Gases),B07,21
Non Life-threatening,Traffic Collision,B01,28
Alarm,Elevator / Escalator Rescue,B99,44
Alarm,Odor (Strange / Unknown),B04,03
Alarm,Gas Leak (Natural and LP Gases),B07,31
Alarm,Electrical Hazard,B04,38
Potentially Life-Threatening,Medical Incident,B10,10
Alarm,Structure Fire,B09,19
Non Life-threatening,Medical Incident,B99,41
Alarm,Structure Fire,B04,03
Non Life-threatening,Traffic Collision,B99,40
Potentially Life-Threatening,Traffic Collision,B99,29
Non Life-threatening,Other,B08,22
Alarm,Citizen Assist / Service Call,B10,14
Alarm,Odor (Strange / Unknown),B09,19
Alarm,Elevator / Escalator Rescue,B09,32
Fire,Explosion,B04,38
Potentially Life-Threatening,Medical Incident,B99,02
Alarm,Outside Fire,B02,05
Alarm,Other,B03,21
Alarm,Outside Fire,B10,17
Potentially Life-Threatening,Traffic Collision,B08,23
Alarm,Other,B04,01
Non Life-threatening,Traffic Collision,B08,20
Potentially Life-Threatening,Medical Incident,B03,32
Fire,Structure Fire,B05,06
Fire,Confined Space / Structure Collapse,B03,04
Potentially Life-Threatening,Medical Incident,B05,37
Alarm,Outside Fire,B03,35
Alarm,Alarms,B02,36
Alarm,Other,B03,31
Non Life-threatening,Traffic Collision,B08,12
Potentially Life-Threatening,Traffic Collision,B03,25
Fire,HazMat,B08,39
Alarm,Odor (Strange / Unknown),B03,08
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B10,37
Alarm,Outside Fire,B03,29
Alarm,Odor (Strange / Unknown),B01,02
Alarm,Citizen Assist / Service Call,B05,22
Non Life-threatening,Medical Incident,B08,31
Alarm,Assist Police,B04,05
Non Life-threatening,Traffic Collision,B99,13
Potentially Life-Threatening,Medical Incident,B01,15
Fire,Outside Fire,B02,29
Alarm,Odor (Strange / Unknown),B06,09
Alarm,Assist Police,B07,10
Non Life-threatening,Medical Incident,B02,37
Alarm,Fuel Spill,B08,20
Non Life-threatening,Medical Incident,B01,10
Alarm,Outside Fire,B05,12
Alarm,Alarms,B06,43
Potentially Life-Threatening,Other,B10,37
Alarm,Citizen Assist / Service Call,B05,06
Non Life-threatening,Medical Incident,B04,38
Alarm,Oil Spill,B03,48
Fire,Vehicle Fire,B04,28
Alarm,Structure Fire,B09,26
Alarm,Alarms,B04,22
Alarm,Medical Incident,B08,33
Fire,Outside Fire,B09,09
Fire,Confined Space / Structure Collapse,B03,01
Alarm,Alarms,B09,26
Alarm,Structure Fire,B04,22
Alarm,Outside Fire,B09,44
Alarm,Citizen Assist / Service Call,B03,36
Fire,Explosion,B01,28
Alarm,Gas Leak (Natural and LP Gases),B07,12
Alarm,Smoke Investigation (Outside),B08,22
Fire,Mutual Aid / Assist Outside Agency,B06,07
Potentially Life-Threatening,Medical Incident,B07,26
Alarm,Structure Fire,B01,29
Alarm,Electrical Hazard,B08,12
Potentially Life-Threatening,Medical Incident,B07,36
Fire,Confined Space / Structure Collapse,B06,26
Alarm,Gas Leak (Natural and LP Gases),B10,25
Alarm,Electrical Hazard,B08,20
Potentially Life-Threatening,Traffic Collision,B02,07
Potentially Life-Threatening,Traffic Collision,B99,51
Potentially Life-Threatening,Medical Incident,B99,43
Alarm,Citizen Assist / Service Call,B05,03
Non Life-threatening,Medical Incident,B99,18
Alarm,Other,B02,18
Potentially Life-Threatening,Water Rescue,B10,25
Fire,Structure Fire,B03,36
Potentially Life-Threatening,Traffic Collision,B06,15
Alarm,Structure Fire,B02,36
Fire,Industrial Accidents,B08,23
Fire,Outside Fire,B02,09
Fire,HazMat,B04,16
Alarm,Structure Fire,B01,35
Alarm,Alarms,B01,51
Fire,Vehicle Fire,B04,10
Alarm,HazMat,B10,09
Alarm,Other,B10,36
Alarm,Gas Leak (Natural and LP Gases),B03,28
Fire,Vehicle Fire,B08,19
Non Life-threatening,Medical Incident,B01,28
Alarm,Medical Incident,B01,13
Fire,Other,B06,11
Alarm,Alarms,B04,03
Alarm,HazMat,B01,41
Alarm,Medical Incident,B03,03
Alarm,Alarms,B09,19
Potentially Life-Threatening,Medical Incident,B09,07
Fire,HazMat,B02,06
Alarm,Gas Leak (Natural and LP Gases),B09,33
Alarm,Smoke Investigation (Outside),B10,07
Fire,Structure Fire,B03,48
Fire,Water Rescue,B01,16
Non Life-threatening,Traffic Collision,B99,41
Potentially Life-Threatening,Medical Incident,B99,29
Alarm,Fuel Spill,B04,38
Non Life-threatening,Medical Incident,B99,40
Alarm,Outside Fire,B05,21
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B09,15
Alarm,Smoke Investigation (Outside),B09,39
Fire,Outside Fire,B03,04
Fire,Water Rescue,B06,26
Alarm,Odor (Strange / Unknown),B02,36
Non Life-threatening,Medical Incident,B06,39
Fire,Other,B05,05
Non Life-threatening,Medical Incident,B08,12
Alarm,Alarms,B03,08
Potentially Life-Threatening,Medical Incident,B03,25
Potentially Life-Threatening,Medical Incident,B08,23
Non Life-threatening,Medical Incident,B08,20
Alarm,Citizen Assist / Service Call,B01,01
Potentially Life-Threatening,Other,B09,15
Fire,Outside Fire,B09,43
Non Life-threatening,Traffic Collision,B02,37
Alarm,Citizen Assist / Service Call,B03,48
Alarm,Alarms,B01,02
Alarm,Alarms,B06,09
Alarm,Smoke Investigation (Outside),B07,34
Non Life-threatening,Medical Incident,B99,13
Alarm,Other,B03,12
Non Life-threatening,Traffic Collision,B04,38
Fire,High Angle Rescue,B08,19
Alarm,Smoke Investigation (Outside),B09,28
Potentially Life-Threatening,Medical Incident,B99,35
Non Life-threatening,Medical Incident,B06,28
Fire,Suspicious Package,B03,36
Alarm,Electrical Hazard,B01,28
Fire,Structure Fire,B01,01
Fire,High Angle Rescue,B01,28
Alarm,Electrical Hazard,B04,10
Non Life-threatening,Medical Incident,B08,36
Non Life-threatening,Medical Incident,B07,01
Potentially Life-Threatening,Medical Incident,B09,33
Alarm,Odor (Strange / Unknown),B03,13
Non Life-threatening,Medical Incident,3E,E2
Non Life-threatening,Traffic Collision,B04,28
Alarm,Odor (Strange / Unknown),B01,03
Potentially Life-Threatening,Other,B08,18
Alarm,Electrical Hazard,B08,19
Alarm,Alarms,B06,06
Alarm,HazMat,B09,44
Alarm,Assist Police,B01,01
Non Life-threatening,Other,B09,32
Alarm,Gas Leak (Natural and LP Gases),B08,23
Fire,Water Rescue,B10,42
Fire,Water Rescue,B10,44
Alarm,Elevator / Escalator Rescue,B08,22
Alarm,Outside Fire,B10,09
Fire,Vehicle Fire,B06,39
Fire,Vehicle Fire,B08,12
Alarm,Assist Police,B03,48
Alarm,Medical Incident,B04,41
Alarm,Structure Fire,B06,11
Fire,Industrial Accidents,B10,25
Alarm,Other,B01,05
Fire,Vehicle Fire,B08,20
Potentially Life-Threatening,Medical Incident,B99,03
Alarm,Alarms,B02,21
Potentially Life-Threatening,Medical Incident,B99,11
Alarm,Medical Incident,B02,01
Alarm,Odor (Strange / Unknown),B05,05
Alarm,Fuel Spill,B04,28
Alarm,Other,B03,36
Fire,Outside Fire,B04,16
Non Life-threatening,Traffic Collision,B99,08
Alarm,Other,B01,44
Non Life-threatening,Medical Incident,B07,23
Fire,Confined Space / Structure Collapse,B08,39
Non Life-threatening,Medical Incident,B04,10
Potentially Life-Threatening,Medical Incident,B07,20
Non Life-threatening,Medical Incident,B01,38
Fire,Vehicle Fire,B01,28
Alarm,Medical Incident,B05,12
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B08,40
Potentially Life-Threatening,Medical Incident,B07,12
Non Life-threatening,Traffic Collision,B06,24
Potentially Life-Threatening,Traffic Collision,B10,24
Non Life-threatening,Medical Incident,B08,19
Alarm,Structure Fire,B05,05
Non Life-threatening,Traffic Collision,B06,32
Alarm,Other,B03,48
Potentially Life-Threatening,Traffic Collision,B10,32
Alarm,Odor (Strange / Unknown),B06,11
Alarm,Elevator / Escalator Rescue,B10,07
Fire,Outside Fire,B02,06
Fire,Confined Space / Structure Collapse,B10,44
Alarm,Medical Incident,B03,29
Potentially Life-Threatening,Traffic Collision,B07,14
Alarm,HazMat,B05,21
Potentially Life-Threatening,Medical Incident,B10,25
Fire,Outside Fire,B10,04
Fire,High Angle Rescue,B08,20
Alarm,Medical Incident,B03,35
Potentially Life-Threatening,Other,B08,40
Alarm,Other,B03,16
Alarm,Other,B01,01
Non Life-threatening,Medical Incident,B08,48
Alarm,Medical Incident,B10,17
Non Life-threatening,Other,B99,42
Alarm,Fuel Spill,B06,32
Alarm,Structure Fire,B01,03
Potentially Life-Threatening,Traffic Collision,B07,31
Alarm,Structure Fire,B03,13
Alarm,Fuel Spill,B06,24
Fire,Explosion,B04,10
Potentially Life-Threatening,Traffic Collision,B99,06
Alarm,Medical Incident,B02,05
Potentially Life-Threatening,Traffic Collision,B07,21
Fire,Explosion,B08,19
Potentially Life-Threatening,Medical Incident,B03,28
Alarm,Elevator / Escalator Rescue,B07,34
Alarm,Structure Fire,B04,51
Fire,Outside Fire,B99,16
Alarm,Electrical Hazard,B10,09
Non Life-threatening,Traffic Collision,B10,29
Fire,HazMat,B08,40
Non Life-threatening,Traffic Collision,B04,08
Fire,Industrial Accidents,B03,08
Alarm,Electrical Hazard,B01,41
Fire,Confined Space / Structure Collapse,B10,37
Alarm,Assist Police,B07,34
Potentially Life-Threatening,Medical Incident,B04,11
Potentially Life-Threatening,Medical Incident,B04,03
Fire,Outside Fire,B09,15
Potentially Life-Threatening,Other,B09,43
Fire,Vehicle Fire,B09,44
Fire,Marine Fire,B10,17
Fire,Vehicle Fire,B09,42
Fire,Outside Fire,B10,47
Alarm,Fuel Spill,B01,18
Fire,Marine Fire,B03,35
Alarm,Other,B03,33
Alarm,Other,B08,22
Alarm,Outside Fire,B04,10
Potentially Life-Threatening,Medical Incident,B09,36
Alarm,Medical Incident,B04,38
Alarm,HazMat,B08,12
Fire,Marine Fire,B03,29
Non Life-threatening,Medical Incident,B08,33
Alarm,Assist Police,B10,07
Alarm,HazMat,B08,20
Alarm,Other,B06,37
Potentially Life-Threatening,Medical Incident,B09,26
Alarm,Outside Fire,B08,19
Alarm,Odor (Strange / Unknown),B02,07
Alarm,Medical Incident,B02,37
Alarm,Odor (Strange / Unknown),B99,51
Fire,Vehicle Fire,B03,09
Alarm,Electrical Hazard,B99,10
Fire,Industrial Accidents,B01,02
Alarm,Elevator / Escalator Rescue,B03,36
Fire,Other,B07,21
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B09,43
Non Life-threatening,Medical Incident,B10,09
Potentially Life-Threatening,Medical Incident,B06,09
Alarm,Other,B09,39
Alarm,Structure Fire,B99,51
Potentially Life-Threatening,Medical Incident,B01,02
Alarm,Structure Fire,B02,07
Alarm,HazMat,B01,28
Potentially Life-Threatening,Medical Incident,B04,17
Non Life-threatening,Medical Incident,B01,41
Potentially Life-Threatening,Traffic Collision,B01,29
Non Life-threatening,Other,B07,10
Fire,Vehicle Fire,B09,01
Non Life-threatening,Other,B04,05
Non Life-threatening,Traffic Collision,B05,36
Alarm,Fuel Spill,B03,03
Alarm,Elevator / Escalator Rescue,B03,48
Alarm,Fuel Spill,B01,13
Alarm,Other,B10,07
Non Life-threatening,Medical Incident,B10,51
Alarm,Alarms,B99,35
Fire,Vehicle Fire,B05,21
Alarm,Gas Leak (Natural and LP Gases),B02,21
Alarm,Elevator / Escalator Rescue,B01,01
Alarm,Electrical Hazard,B08,33
Fire,HazMat,B08,18
Alarm,Assist Police,B08,22
Non Life-threatening,Traffic Collision,B03,03
Potentially Life-Threatening,Medical Incident,B09,19
Fire,Industrial Accidents,B04,03
Potentially Life-Threatening,Medical Incident,B99,15
Non Life-threatening,Traffic Collision,B01,13
Fire,Train / Rail Fire,B09,15
Fire,Explosion,B10,09
Alarm,Alarms,B08,23
Non Life-threatening,Medical Incident,B99,10
Potentially Life-Threatening,Medical Incident,B07,07
Potentially Life-Threatening,Medical Incident,B03,08
Alarm,Gas Leak (Natural and LP Gases),B06,06
Alarm,Other,B07,34
Potentially Life-Threatening,Traffic Collision,B02,36
Fire,Water Rescue,B04,94
Fire,Explosion,B01,41
Non Life-threatening,Medical Incident,B03,02
Alarm,Structure Fire,B07,14
Alarm,Gas Leak (Natural and LP Gases),B06,09
Alarm,Medical Incident,B06,32
Potentially Life-Threatening,Water Rescue,B03,08
Non Life-threatening,Medical Incident,B99,24
Non Life-threatening,Other,B10,21
Fire,Structure Fire,B08,22
Alarm,Gas Leak (Natural and LP Gases),B01,02
Alarm,Fuel Spill,B10,17
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B02,06
Alarm,Structure Fire,B10,32
Non Life-threatening,Traffic Collision,B03,29
Potentially Life-Threatening,Medical Incident,B03,41
Fire,Vehicle Fire,B99,10
Alarm,Fuel Spill,B03,35
Fire,Water Rescue,B08,34
Non Life-threatening,Traffic Collision,B05,20
Non Life-threatening,Traffic Collision,B99,25
Alarm,Citizen Assist / Service Call,B06,37
Fire,Outside Fire,B08,40
Potentially Life-Threatening,Traffic Collision,B05,05
Potentially Life-Threatening,Medical Incident,B02,31
Potentially Life-Threatening,Traffic Collision,B05,23
Alarm,Citizen Assist / Service Call,B07,41
Non Life-threatening,Other,B05,06
Alarm,Fuel Spill,B02,05
Non Life-threatening,Traffic Collision,B05,12
Fire,Explosion,B05,21
Non Life-threatening,Medical Incident,B99,32
Alarm,Medical Incident,B06,24
Potentially Life-Threatening,Medical Incident,B02,21
Alarm,Electrical Hazard,B09,44
Alarm,Structure Fire,B07,21
Alarm,Electrical Hazard,B09,42
Potentially Life-Threatening,Traffic Collision,B04,51
Non Life-threatening,Medical Incident,B05,31
Non Life-threatening,Traffic Collision,B02,05
Potentially Life-Threatening,Other,B02,06
Alarm,Fuel Spill,B05,12
Alarm,Citizen Assist / Service Call,B08,22
Alarm,Alarms,B09,33
Alarm,Smoke Investigation (Outside),B03,36
Alarm,Structure Fire,B07,31
Potentially Life-Threatening,Traffic Collision,B03,13
Potentially Life-Threatening,Traffic Collision,B01,03
Potentially Life-Threatening,Traffic Collision,B02,12
Alarm,Fuel Spill,B05,20
Alarm,Gas Leak (Natural and LP Gases),B09,19
Non Life-threatening,Medical Incident,B05,21
Non Life-threatening,Traffic Collision,B03,35
Fire,Vehicle Fire,B10,09
Alarm,HazMat,B04,10
Non Life-threatening,Medical Incident,B02,04
Alarm,Fuel Spill,B03,29
Alarm,Gas Leak (Natural and LP Gases),B03,08
Alarm,HazMat,B08,19
Non Life-threatening,Traffic Collision,B10,17
Non Life-threatening,Traffic Collision,B02,42
Potentially Life-Threatening,Medical Incident,B06,06
Non Life-threatening,Medical Incident,B10,06
Non Life-threatening,Medical Incident,B01,08
Fire,Vehicle Fire,B01,41
Alarm,Smoke Investigation (Outside),B03,48
Alarm,Citizen Assist / Service Call,B07,34
Non Life-threatening,Traffic Collision,B99,38
Potentially Life-Threatening,Other,B04,16
Alarm,Other,B09,25
Alarm,Fuel Spill,B04,41
Fire,Structure Fire,B10,07
Alarm,Gas Leak (Natural and LP Gases),B04,03
Fire,Suspicious Package,B08,22
Fire,Vehicle Fire,B08,33
Alarm,Odor (Strange / Unknown),B07,21
Non Life-threatening,Medical Incident,B04,13
Fire,Explosion,B09,44
Potentially Life-Threatening,Traffic Collision,B05,01
Fire,Water Rescue,B99,14
Alarm,Alarms,B03,28
Alarm,Fuel Spill,B02,01
Non Life-threatening,Medical Incident,B03,51
Alarm,Other,B07,08
Fire,Structure Fire,B09,39
Fire,Other,B99,51
Alarm,Outside Fire,B01,28
Alarm,Odor (Strange / Unknown),B07,31
Non Life-threatening,Medical Incident,B08,07
Non Life-threatening,Medical Incident,B09,44
Alarm,Alarms,B07,12
Non Life-threatening,Traffic Collision,B10,03
Non Life-threatening,Medical Incident,B09,42
Non Life-threatening,Traffic Collision,B02,01
Fire,Structure Fire,B07,34
Alarm,Smoke Investigation (Outside),B06,42
Alarm,Structure Fire,B03,10
Alarm,Alarms,B07,20
Alarm,Citizen Assist / Service Call,B10,07
Fire,Water Rescue,B07,22
Alarm,Gas Leak (Natural and LP Gases),B09,26
Alarm,Electrical Hazard,B05,21
Fire,Odor (Strange / Unknown),B08,22
Non Life-threatening,Traffic Collision,B04,41
Alarm,Smoke Investigation (Outside),B01,01
Alarm,Other,B08,09
Alarm,Alarms,B10,25
Potentially Life-Threatening,Medical Incident,B10,08
Alarm,Odor (Strange / Unknown),B07,14
Potentially Life-Threatening,Medical Incident,B01,06
Alarm,Citizen Assist / Service Call,B09,39
Non Life-threatening,Medical Incident,B09,05
Fire,Outside Fire,B08,18
Alarm,Odor (Strange / Unknown),B10,32
Potentially Life-Threatening,Traffic Collision,B06,11
Non Life-threatening,Medical Incident,B03,29
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B10,42
Fire,Explosion,B10,17
Potentially Life-Threatening,Medical Incident,B05,44
Potentially Life-Threatening,Traffic Collision,B03,41
Non Life-threatening,Other,B03,48
Fire,Industrial Accidents,B06,11
Alarm,Structure Fire,B10,25
Fire,Explosion,B03,35
Non Life-threatening,Traffic Collision,B99,24
Fire,Outside Fire,B03,37
Non Life-threatening,Medical Incident,B05,12
Non Life-threatening,Traffic Collision,B99,32
Fire,Vehicle Fire,B01,13
Fire,Vehicle Fire,B03,03
Alarm,Elevator / Escalator Rescue,B07,10
Alarm,Medical Incident,B08,19
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B08,39
Fire,Outside Fire,B99,14
Fire,HazMat,B10,37
Alarm,Elevator / Escalator Rescue,B04,05
Alarm,Medical Incident,B04,10
Alarm,Citizen Assist / Service Call,B07,40
Alarm,Outside Fire,B04,38
Alarm,Fuel Spill,B05,21
Non Life-threatening,Medical Incident,B05,20
Fire,Confined Space / Structure Collapse,B08,40
Non Life-threatening,Medical Incident,B99,25
Potentially Life-Threatening,Medical Incident,B05,23
Potentially Life-Threatening,Medical Incident,B05,05
Alarm,Assist Police,B99,01
Fire,Outside Fire,B05,24
Potentially Life-Threatening,Medical Incident,B01,03
Potentially Life-Threatening,Medical Incident,B03,13
Alarm,Odor (Strange / Unknown),B09,33
Fire,Explosion,B05,12
Non Life-threatening,Traffic Collision,B05,21
Non Life-threatening,Medical Incident,B04,34
Alarm,Structure Fire,B03,28
Fire,Outside Fire,B07,22
Potentially Life-Threatening,Other,B10,42
Alarm,Other,B99,05
Potentially Life-Threatening,Other,B10,44
Alarm,Electrical Hazard,B02,01
Potentially Life-Threatening,Medical Incident,B04,51
Non Life-threatening,Medical Incident,B02,05
Alarm,HazMat,B06,32
Alarm,HazMat,B06,24
Non Life-threatening,Medical Incident,B10,17
Potentially Life-Threatening,Medical Incident,B06,17
Fire,Explosion,B03,29
Alarm,Gas Leak (Natural and LP Gases),B02,36
Alarm,Other,B99,42
Potentially Life-Threatening,Traffic Collision,B06,06
Non Life-threatening,Medical Incident,B02,42
Alarm,Other,B99,44
Non Life-threatening,Medical Incident,B03,35
Potentially Life-Threatening,Other,B08,39
Alarm,Electrical Hazard,B04,41
Fire,Water Rescue,B08,18
